Model Name,Total File Size (bytes),Total File Size (MB),Total Parameters,Total Parameters (M),Total Tensor Bytes,Total Tensor MB,Total Tensors,Activation Bytes,Activation MB,Peak Memory Bytes,Peak Memory MB,Processor Freq (MHz),ascon-20 (pJ/op),ascon-20 (pJ/cycle),ascon-20 Total Cycles,ascon-20 Avg Cycles/Layer,ascon-20 Total Energy (pJ),ascon-20 Avg Energy/Layer (pJ),ascon-20 Activation Cycles,ascon-20 Activation Energy (pJ),ascon-20 Peak Mem Cycles,ascon-20 Peak Mem Energy (pJ)
Mobile-VIT,23022383,21.96,5794709,5.79,22769394,21.71,789,2560000,2.44,10292224,9.82,500,502.40000000000003,25.12,455387880,577170.9505703422,11439343545.6,14498534.278326998,51200000,1286144000.0,205844480,5170813337.6
MobileNet-v3-Large,22133352,21.11,5643270,5.64,22259803,21.23,419,5120000,4.88,16179200,15.43,500,502.40000000000003,25.12,445196060,1062520.429594272,11183325027.2,26690513.191408116,102400000,2572288000.0,323584000,8128430080.000001
ResNet50,102345784,97.6,25718742,25.72,102390174,97.65,261,9437184,9.0,65863680,62.81,500,502.40000000000003,25.12,2047803480,7845990.344827586,51440823417.600006,197091277.46206897,188743680,4741241241.6,1317273600,33089912832.000004
Whisper-Small-Decoder,225417736,214.98,35036003,35.04,35088074,33.46,224,1152000,1.1,11520000,10.99,500,502.40000000000003,25.12,701761480,3132863.75,17628248377.600002,78697537.4,23040000,578764800.0,230400000,5787648000.0
Whisper-Small-Encoder,112161154,106.97,27888000,27.89,28128000,26.82,75,1152000,1.1,11520000,10.99,500,502.40000000000003,25.12,562560000,7500800.0,14131507200.000002,188420096.00000003,23040000,578764800.0,230400000,5787648000.0
YamNet,15021715,14.33,3749108,3.75,14970525,14.28,127,4194304,4.0,14454784,13.79,500,502.40000000000003,25.12,299410500,2357562.9921259843,7521191760.000001,59221982.36220473,83886080,2107218329.6000001,289095680,7262083481.6
