Model Name,Total File Size (bytes),Total File Size (MB),Total Parameters,Total Parameters (M),Total Tensor Bytes,Total Tensor MB,Total Tensors,Activation Bytes,Activation MB,Peak Memory Bytes,Peak Memory MB,grain128 Total Cycles (16250 c/b),chacha20_poly1305 Total Cycles (170 c/b),trivium Total Cycles (8000 c/b),grain128 Activation Cycles (16250 c/b),chacha20_poly1305 Activation Cycles (170 c/b),trivium Activation Cycles (8000 c/b),grain128 Peak Memory Cycles (16250 c/b),chacha20_poly1305 Peak Memory Cycles (170 c/b),trivium Peak Memory Cycles (8000 c/b)
mobile-VIT-float.onnx,256023,0.24,5770213,5.77,23081268,22.01,234,2560000,2.44,10617856,10.13,375070605000,3923815560,184650144000,41600000000,435200000,20480000000,172540160000,1805035520,84942848000
model.onnx,758159,0.72,5794709,5.79,22769394,21.71,789,2560000,2.44,10292224,9.82,370002652500,3870796980,182155152000,41600000000,435200000,20480000000,167248640000,1749678080,82337792000
